"year","word","value","company"
"2018","assets",2,"disney"
"2018","fallen",-2,"disney"
"2018","fight",-1,"disney"
"2018","battle",-1,"disney"
"2018","assets",2,"disney"
"2018","war",-2,"disney"
"2018","reach",1,"disney"
"2018","fight",-1,"disney"
"2018","awkward",-2,"disney"
"2018","battle",-1,"disney"
"2018","beating",-1,"disney"
"2018","battle",-1,"disney"
"2018","celebrates",3,"disney"
"2018","marvel",3,"disney"
"2018","fire",-2,"disney"
"2018","wins",4,"disney"
"2018","approval",2,"disney"
"2019","killed",-3,"disney"
"2019","crash",-2,"disney"
"2019","top",2,"disney"
"2019","unequal",-1,"disney"
"2019","pay",-1,"disney"
"2019","attack",-1,"disney"
"2019","pay",-1,"disney"
"2019","warns",-2,"disney"
"2019","difficult",-1,"disney"
"2019","euphoria",3,"disney"
"2019","stop",-1,"disney"
"2019","axed",-1,"disney"
"2019","pay",-1,"disney"
"2019","criticism",-2,"disney"
"2019","gross",-2,"disney"
"2019","unfair",-2,"disney"
"2019","matters",1,"disney"
"2019","disappoint",-2,"disney"
"2019","haunted",-2,"disney"
"2019","marvel",3,"disney"
"2019","invite",1,"disney"
"2019","drag",-1,"disney"
"2019","success",2,"disney"
"2019","stops",-1,"disney"
"2019","wins",4,"disney"
"2019","exposed",-1,"disney"
"2019","unmatched",1,"disney"
"2019","ambitious",2,"disney"
"2019","error",-2,"disney"
"2019","worth",2,"disney"
"2019","kiss",2,"disney"
"2020","apologizes",-1,"disney"
"2020","pay",-1,"disney"
"2020","war",-2,"disney"
"2020","dream",1,"disney"
"2020","true",2,"disney"
"2020","sick",-2,"disney"
"2020","die",-3,"disney"
"2020","united",1,"disney"
"2020","top",2,"disney"
"2020","stricken",-2,"disney"
"2020","worse",-3,"disney"
"2020","safety",1,"disney"
"2020","hug",2,"disney"
"2020","attract",1,"disney"
"2020","expands",1,"disney"
"2020","postpones",-1,"disney"
"2020","drop",-1,"disney"
"2020","excitement",3,"disney"
"2020","cuts",-1,"disney"
"2020","insensitive",-2,"disney"
"2020","worst",-3,"disney"
"2020","true",2,"disney"
"2020","warnings",-3,"disney"
"2020","racist",-3,"disney"
"2020","comfort",2,"disney"
"2020","honor",2,"disney"
"2020","reaches",1,"disney"
"2021","lenient",1,"disney"
"2021","fan",3,"disney"
"2021","pay",-1,"disney"
"2021","pay",-1,"disney"
"2021","agree",1,"disney"
"2021","ruining",-2,"disney"
"2021","tears",-2,"disney"
"2021","winner",4,"disney"
"2021","charged",-3,"disney"
"2021","benefit",2,"disney"
"2021","join",1,"disney"
"2021","growing",1,"disney"
"2021","reaches",1,"disney"
"2021","pay",-1,"disney"
"2021","marvel",3,"disney"
"2021","top",2,"disney"
"2021","creative",2,"disney"
"2021","cheers",2,"disney"
"2021","tears",-2,"disney"
"2021","comfort",2,"disney"
"2021","growth",2,"disney"
"2021","pressure",-1,"disney"
"2021","ban",-2,"disney"
"2021","leave",-1,"disney"
"2022","beating",-1,"disney"
"2022","supported",2,"disney"
"2022","hide",-1,"disney"
"2022","hopes",2,"disney"
"2022","anti",-1,"disney"
"2022","struck",-1,"disney"
"2022","ban",-2,"disney"
"2022","hugs",2,"disney"
"2022","clears",1,"disney"
"2022","clash",-2,"disney"
"2022","cuts",-1,"disney"
"2022","top",2,"disney"
"2022","apologizes",-1,"disney"
"2022","thwarts",-2,"disney"
"2022","top",2,"disney"
"2022","kiss",2,"disney"
"2022","charged",-3,"disney"
"2022","strike",-1,"disney"
"2022","anti",-1,"disney"
"2022","cheer",2,"disney"
"2022","shocks",-2,"disney"
"2022","discontented",-2,"disney"
"2022","swift",2,"disney"
"2022","praises",3,"disney"
"2022","increased",1,"disney"
"2022","adventure",2,"disney"
"2022","treasure",2,"disney"
"2022","failed",-2,"disney"
"2023","fight",-1,"disney"
"2023","reject",-1,"disney"
"2023","cuts",-1,"disney"
"2023","battle",-1,"disney"
"2023","marvel",3,"disney"
"2023","banned",-2,"disney"
"2023","clash",-2,"disney"
"2023","authority",1,"disney"
"2023","punitive",-2,"disney"
"2023","hiding",-1,"disney"
"2023","agreement",1,"disney"
"2023","fire",-2,"disney"
"2023","strong",2,"disney"
"2023","lawsuit",-2,"disney"
"2023","blessing",3,"disney"
"2023","fame",1,"disney"
"2023","haunted",-2,"disney"
"2023","fun",4,"disney"
"2023","haunted",-2,"disney"
"2023","extends",1,"disney"
"2023","swift",2,"disney"
"2023","agree",1,"disney"
"2023","reach",1,"disney"
"2023","agreement",1,"disney"
"2023","severe",-2,"disney"
"2023","lawsuit",-2,"disney"
"2023","love",3,"disney"
"2023","rejected",-1,"disney"
"2023","denies",-2,"disney"
"2023","pressure",-1,"disney"
"2023","worse",-3,"disney"
"2014","fit",1,"honda"
"2014","fit",1,"honda"
"2014","fit",1,"honda"
"2014","fit",1,"honda"
"2014","defect",-3,"honda"
"2014","fit",1,"honda"
"2014","expands",1,"honda"
"2014","fit",1,"honda"
"2014","chance",2,"honda"
"2014","crash",-2,"honda"
"2014","failure",-2,"honda"
"2014","death",-2,"honda"
"2014","failed",-2,"honda"
"2014","defects",-3,"honda"
"2014","expand",1,"honda"
"2014","dreams",1,"honda"
"2014","fit",1,"honda"
"2014","fit",1,"honda"
"2015","safety",1,"honda"
"2015","error",-2,"honda"
"2015","fine",2,"honda"
"2015","cuts",-1,"honda"
"2015","delayed",-1,"honda"
"2015","expands",1,"honda"
"2015","death",-2,"honda"
"2015","death",-2,"honda"
"2015","questioned",-1,"honda"
"2015","huge",1,"honda"
"2015","fine",2,"honda"
"2016","expands",1,"honda"
"2016","crisis",-3,"honda"
"2016","relieved",2,"honda"
"2016","wins",4,"honda"
"2016","expands",1,"honda"
"2016","warns",-2,"honda"
"2017","true",2,"honda"
"2017","win",4,"honda"
"2017","blamed",-2,"honda"
"2017","death",-2,"honda"
